    ,rate
59438,4.0
59436,4.0
59435,3.0
59432,3.0
59431,5.0
59430,3.0
59428,5.0
59427,3.0
59426,5.0
59425,2.0
59424,4.0
59422,4.0
59421,4.5
59420,4.0
59419,3.0
59418,3.5
59417,4.0
59416,4.0
59415,3.5
59413,3.0
59411,4.0
59409,4.0
59407,5.0
59406,4.0
59405,2.5
59404,2.5
59403,4.5
59401,5.0
59400,4.0
59399,3.0
59398,4.0
59397,3.0
59396,4.5
59395,2.5
59393,3.5
59392,5.0
59391,1.5
59390,5.0
59389,2.5
59388,4.0
59386,4.5
59384,2.5
59383,3.5
59380,4.0
59379,3.0
59378,4.0
59377,4.5
59376,4.0
59375,3.5
59374,2.0
59373,4.0
59372,3.5
59371,3.0
59370,5.0
59368,4.0
59366,4.0
59364,4.0
59361,5.0
59360,3.5
59359,5.0
59358,3.0
59356,4.0
59355,5.0
59354,5.0
59353,3.5
59352,4.0
59351,4.0
59350,2.0
59349,3.5
59348,5.0
59347,5.0
59346,1.0
59344,3.5
59343,3.0
59341,3.0
59340,5.0
59339,4.0
59338,3.0
59337,5.0
59336,4.0
59335,2.0
59334,3.0
59333,3.0
59332,3.0
59331,2.0
59330,4.0
59329,2.0
59328,4.0
59327,3.0
59326,2.5
59325,0.5
59324,4.0
59323,4.0
59322,3.0
59320,3.0
59319,4.0
59318,3.0
59317,3.5
59316,2.5
59315,2.5
59313,3.0
59310,4.0
59309,1.0
59308,4.0
59307,4.0
59306,4.0
59305,4.5
59304,4.0
59303,5.0
59302,3.0
59301,4.0
59300,2.0
59299,2.0
59298,4.5
59297,4.0
59296,3.5
59295,3.5
59293,3.0
59292,4.5
59291,4.5
59289,3.5
59288,4.5
59287,3.0
59286,2.0
59285,3.0
59284,4.0
59283,3.5
59281,3.0
59280,4.0
59279,3.0
59278,5.0
59277,0.5
59276,2.5
59274,4.0
59273,4.0
59272,5.0
59271,5.0
59270,4.5
59269,5.0
59268,3.5
59267,4.5
59266,3.0
59265,4.0
59264,4.0
59261,4.0
59260,3.0
59259,4.5
59257,4.5
59256,3.0
59255,5.0
59254,3.0
59253,4.0
59252,4.0
59251,4.0
59250,4.0
59249,2.0
59248,3.5
59247,3.0
59245,3.0
59244,4.5
59243,5.0
59242,3.0
59241,4.0
59240,5.0
59239,3.5
59238,4.0
59237,4.0
59236,0.5
59235,5.0
59234,4.0
59233,2.0
59232,1.5
59231,4.5
59230,3.0
59229,5.0
59228,5.0
59227,2.0
59226,2.0
59225,3.0
59224,3.0
59223,3.5
59222,4.0
59221,3.0
59220,3.0
59219,2.5
59218,4.5
59217,4.5
59216,3.5
59215,4.0
59213,3.5
59212,1.0
59211,1.5
59209,3.0
59208,4.0
59207,4.0
59205,3.0
59204,4.5
59203,4.5
59202,1.0
59200,5.0
59199,3.5
59198,4.0
59197,4.0
59193,3.0
59192,2.0
59191,4.0
59190,4.0
59189,4.0
59188,5.0
59187,3.5
59186,3.0
59185,4.0
59184,1.0
59183,4.0
59181,3.0
59180,4.0
59179,3.0
59178,2.5
59177,4.0
59176,5.0
59175,4.0
59174,4.5
59173,5.0
59172,5.0
59170,2.0
59169,4.0
59168,2.5
59167,4.0
59165,4.0
59164,3.0
59163,2.5
59162,3.5
59161,2.0
59160,3.0
59159,1.0
59157,2.5
59156,4.0
59154,4.0
59153,3.0
59151,5.0
59150,4.0
59149,3.0
59148,4.0
59147,2.5
59146,3.0
59144,3.0
59143,3.0
59142,4.5
59140,1.0
59139,3.0
59138,2.0
59137,3.0
59136,3.5
59135,3.0
59133,3.0
59132,4.5
59131,3.0
59130,3.5
59129,4.0
59128,4.0
59126,5.0
59125,4.0
59124,3.5
59123,4.0
59122,1.0
59121,4.5
59120,5.0
59117,4.0
59116,1.0
59115,2.5
59114,4.5
59113,3.0
59112,4.0
59111,5.0
59109,5.0
59108,1.5
59106,5.0
59105,4.0
59104,4.5
59103,5.0
59102,4.5
59101,5.0
59100,4.0
59099,1.5
59098,2.0
59097,5.0
59095,4.5
59094,4.0
59093,3.0
59091,2.5
59090,4.0
59089,1.0
59088,2.5
59087,4.0
59084,5.0
59083,4.0
59082,4.5
59081,2.0
59080,2.5
59079,1.0
59078,3.0
59075,3.5
59072,3.0
59071,1.0
59070,4.0
59069,3.0
59068,5.0
59067,3.0
59066,2.0
59065,4.5
59064,5.0
59063,3.5
59062,5.0
59061,3.0
59060,5.0
59059,2.5
59058,2.5
59057,4.0
59056,4.5
59055,4.0
59054,3.0
59053,4.0
59052,2.5
59050,2.5
59049,4.0
59048,4.0
59047,1.0
59046,3.0
59045,3.5
59043,2.5
59042,4.0
59041,4.5
59039,3.0
59038,4.0
59037,3.5
59036,5.0
59034,5.0
59031,3.5
59030,2.0
59028,4.0
59027,4.0
59026,4.0
59025,3.0
59024,4.0
59023,4.0
59022,4.5
59021,3.0
59020,3.0
59019,3.0
59018,3.0
59017,4.0
59016,5.0
59014,2.0
59013,5.0
59012,2.0
59011,3.0
59010,2.0
59009,5.0
59007,4.0
59006,5.0
59004,3.0
59003,4.0
59001,2.0
59000,3.5
58998,4.0
58997,4.0
58996,3.0
58995,2.0
58994,3.0
58993,2.0
58992,3.0
58991,2.0
58989,2.0
58988,3.0
58987,4.0
58986,4.0
58985,4.0
58984,3.5
58983,4.0
58982,5.0
58981,4.0
58980,5.0
58979,4.0
58978,2.5
58976,2.5
58975,3.0
58973,4.0
58972,2.5
58970,3.0
58968,4.5
58967,4.0
58966,5.0
58964,3.0
58963,3.5
58962,1.0
58961,5.0
58960,4.0
58959,3.0
58958,3.0
58956,3.5
58955,5.0
58954,3.0
58953,0.5
58952,4.0
58951,4.5
58950,4.0
58949,4.0
58948,3.0
58947,2.5
58946,3.0
58945,4.5
58944,4.0
58943,5.0
58942,4.5
58939,1.5
58937,4.5
58936,3.5
58935,3.0
58934,3.5
58933,3.5
58932,4.5
58929,4.0
58927,4.0
58926,5.0
58925,4.0
58924,3.0
58923,4.0
58922,3.0
58920,2.0
58919,4.5
58917,3.0
58915,4.5
58914,3.0
58911,3.5
58909,3.0
58905,4.5
58903,4.0
58902,3.5
58901,3.0
58900,3.0
58899,4.0
58898,4.5
58897,5.0
58895,4.0
58894,4.0
58893,3.0
58889,5.0
58888,5.0
58887,3.5
58886,4.0
58885,3.5
58884,4.0
58883,4.5
58882,4.5
58881,3.0
58880,4.5
58879,2.0
58877,4.0
58875,4.0
58874,4.0
58872,5.0
58870,4.0
58869,3.0
58868,4.0
58867,1.5
58865,4.0
58864,4.0
58863,4.0
58862,4.0
58861,3.5
58859,4.5
58857,3.0
58856,3.0
58854,3.0
58853,4.0
58852,4.0
58851,4.0
58850,5.0
58849,5.0
58848,4.0
58847,4.0
58846,3.0
58845,4.0
58844,4.0
58843,2.5
58842,5.0
58840,3.0
58839,3.5
58838,4.5
58837,4.0
58836,1.5
58835,3.0
58834,2.5
58832,5.0
58831,3.0
58830,4.0
58829,4.0
58828,4.0
58827,4.0
58826,3.0
58825,5.0
58824,5.0
58823,4.5
58822,4.0
58821,3.0
58820,4.0
58819,3.0
58818,4.0
58817,4.0
58816,4.0
58815,5.0
58814,4.5
58813,4.5
58812,1.0
58810,4.0
58809,4.0
58807,5.0
58806,1.0
58805,4.0
58804,4.0
58802,4.0
58801,3.5
58800,3.0
58799,3.0
58798,3.0
58797,4.0
58795,2.0
58793,4.0
58792,4.0
58791,4.0
58790,1.0
58788,4.0
58787,4.0
58784,2.0
58783,3.0
58782,5.0
58781,3.0
58780,3.0
58779,4.0
58778,4.5
58776,3.0
58775,2.5
58771,1.0
58770,3.0
58768,5.0
58766,4.0
58765,3.5
58763,3.5
58762,3.0
58761,1.5
58759,3.0
58757,2.5
58756,3.0
58755,2.5
58754,4.0
58753,2.0
58751,3.0
58750,3.5
58749,3.0
58748,5.0
58746,3.5
58744,3.5
58743,2.5
58742,0.5
58741,1.0
58740,4.0
58739,3.5
58738,2.5
58737,1.5
58736,5.0
58735,1.0
58734,3.0
58733,3.0
58731,1.5
58729,3.0
58728,4.0
58727,3.0
58725,5.0
58724,5.0
58723,5.0
58722,4.0
58721,4.0
58720,5.0
58719,5.0
58718,3.0
58717,4.0
58716,5.0
58714,1.0
58713,3.0
58712,3.0
58710,3.0
58709,3.5
58708,1.0
58706,2.0
58705,4.0
58704,4.0
58702,4.5
58701,4.5
58700,2.0
58699,5.0
58698,5.0
58697,0.5
58696,4.0
58695,5.0
58694,4.0
58693,3.0
58692,3.0
58690,4.0
58689,3.0
58687,5.0
58686,1.0
58685,3.0
58684,3.5
58683,5.0
58682,2.5
58681,3.0
58680,4.0
58679,4.5
58678,4.0
58676,5.0
58675,4.0
58674,3.5
58671,4.0
58670,2.0
58669,4.0
58668,4.0
58667,3.5
58666,3.5
58665,3.5
58662,3.0
58661,4.5
58660,4.0
58659,3.0
58658,4.5
58657,4.0
58656,4.0
58655,4.0
58654,2.5
58653,4.0
58652,4.0
58651,5.0
58650,5.0
58649,5.0
58648,3.0
58647,3.0
58646,3.0
58645,3.0
58644,3.0
58641,3.0
58640,3.0
58639,2.0
58638,4.0
58637,4.0
58636,3.0
58634,5.0
58631,5.0
58630,4.0
58629,4.0
58628,2.0
58627,5.0
58626,4.5
58625,4.0
58624,4.0
58622,2.5
58619,4.5
58614,3.0
58612,3.0
58611,3.0
58610,3.5
58609,3.0
58608,4.0
58607,4.0
58606,4.0
58605,5.0
58604,2.0
58603,4.5
58601,3.5
58600,4.0
58599,4.5
58598,3.0
58597,2.0
58596,4.0
58591,5.0
58589,4.0
58588,5.0
58587,5.0
58586,4.0
58585,3.0
58584,3.0
58583,4.0
58582,3.0
58581,5.0
58580,2.0
58579,3.0
58578,4.0
58574,4.0
58573,4.0
58571,4.0
58570,4.0
58569,3.0
58567,5.0
58566,1.0
58565,4.0
58564,4.0
58563,3.5
58562,3.0
58561,4.0
58559,3.0
58558,3.5
58557,4.0
58556,3.0
58555,4.0
58554,4.0
58553,1.0
58552,2.0
58551,3.0
58549,5.0
58546,3.0
58545,3.0
58544,3.5
58543,1.0
58542,2.0
58540,4.5
58539,4.0
58538,3.5
58537,4.0
58535,3.5
58534,4.0
58533,3.0
58531,3.5
58530,4.0
58529,3.5
58528,5.0
58527,5.0
58526,1.0
58525,2.5
58524,3.0
58523,3.0
58522,2.5
58521,4.0
58520,5.0
58519,0.5
58518,4.0
58517,2.5
58516,4.0
58515,3.0
58512,3.5
58511,2.5
58510,3.0
58509,5.0
58507,4.5
58506,5.0
58504,5.0
58503,4.0
58502,4.5
58501,2.0
58500,4.0
58499,4.5
58498,2.0
58497,4.0
58496,4.0
58495,5.0
58494,3.0
58493,4.0
58492,3.5
58491,5.0
58489,4.0
58488,3.0
58487,5.0
58486,5.0
58485,3.0
58483,3.0
58482,3.0
58481,2.0
58480,3.0
58479,3.5
58478,3.5
58476,2.5
58475,3.0
58474,3.5
58473,3.5
58472,2.5
58471,3.5
58470,5.0
58469,3.0
58467,5.0
58466,4.0
58465,1.5
58464,5.0
58463,5.0
58462,3.0
58460,2.5
58459,1.0
58457,3.0
58456,2.0
58454,3.5
58453,2.0
58452,0.5
58451,3.0
58450,5.0
58446,1.0
58445,5.0
58444,3.0
58443,3.0
58442,4.5
58441,2.0
58438,3.0
58437,4.0
58436,4.5
58435,4.0
58434,4.0
58433,4.0
58432,3.0
58431,5.0
58430,4.0
58429,2.0
58428,3.0
58427,4.0
58426,3.0
58425,3.0
58424,4.0
58422,3.5
58421,5.0
58420,3.5
58417,0.5
58416,4.0
58415,4.5
58414,4.0
58413,3.0
58412,3.5
58411,3.5
58409,4.5
58408,5.0
58407,5.0
58406,4.0
58405,4.0
58403,3.0
58402,3.0
58401,4.0
58400,4.0
58399,5.0
58398,3.5
58397,5.0
58396,3.5
58395,4.0
58393,3.0
58392,4.0
58388,4.0
58387,4.0
58386,3.0
58385,2.5
58384,2.0
58383,5.0
58382,4.0
58381,5.0
58380,4.0
58379,4.0
58378,3.0
58377,3.0
58376,4.5
58375,2.0
58374,3.0
58373,2.5
58372,4.0
58370,1.0
58369,4.0
58368,3.0
58367,5.0
58365,3.0
58364,5.0
58363,5.0
58362,3.0
58361,4.0
58360,5.0
58359,3.0
58356,3.0
58354,1.0
58353,2.0
58352,3.0
58350,3.0
58349,5.0
58348,3.0
58346,5.0
58345,4.0
58344,4.5
58343,3.5
58342,4.5
58340,4.0
58339,4.0
58338,3.5
58336,4.0
58335,3.0
58333,5.0
58330,3.5
58328,4.5
58327,3.0
58326,2.5
58324,4.0
58323,4.0
58322,5.0
58321,4.0
58320,1.0
58319,2.5
58318,4.0
58317,4.5
58316,2.0
58315,3.0
58314,4.5
58312,5.0
58311,3.0
58310,4.5
58309,3.5
58308,3.0
58307,1.5
58306,3.5
58305,5.0
58304,5.0
58302,2.0
58301,4.0
58300,3.0
58299,2.0
58298,3.0
58297,3.0
58296,4.0
58295,5.0
58294,4.5
58293,4.0
58292,4.0
58291,2.0
58290,2.0
58289,1.0
58287,3.5
58286,2.0
58285,5.0
58283,4.0
58281,3.0
58280,3.0
58279,4.0
58278,3.0
58277,1.0
58275,3.5
58274,4.5
58273,4.0
58271,3.0
58269,0.5
58268,4.0
58267,3.0
58266,3.5
58265,3.5
58264,5.0
58263,5.0
58262,4.0
58261,5.0
58259,5.0
58258,1.0
58257,5.0
58256,3.5
58254,5.0
58251,4.5
58250,3.0
58249,4.0
58248,4.0
58247,1.0
58246,3.5
58245,3.5
58244,3.5
58243,4.0
58242,4.5
58241,4.0
58240,4.0
58239,3.5
58238,4.5
58237,5.0
58236,4.0
58234,4.0
58233,4.0
58232,4.0
58230,4.0
58229,3.5
58228,3.0
58227,3.5
58225,4.0
58224,5.0
58223,3.0
58222,4.5
58221,4.0
58220,2.5
58219,4.0
58217,4.5
58214,4.0
58213,3.0
58212,4.0
58211,4.0
58208,3.0
58207,2.0
58206,4.0
58205,4.0
58204,3.5
58203,1.0
58202,3.0
58201,4.0
58200,3.0
58197,1.0
58196,4.0
58195,5.0
58194,4.0
58193,4.0
58192,4.5
58191,3.0
58189,2.5
58188,4.5
58187,4.0
58185,3.5
58184,3.5
58183,4.5
58182,3.5
58181,3.0
58180,1.5
58179,3.0
58177,4.5
58176,2.0
58174,3.5
58173,3.5
58172,5.0
58170,3.5
58169,3.0
58168,4.0
58167,5.0
58166,4.0
58164,3.5
58163,4.0
58161,3.0
58160,2.0
58159,5.0
58158,4.0
58157,3.5
58156,3.0
58154,5.0
58153,4.0
58152,5.0
58151,4.0
58150,3.5
58149,4.0
58147,4.5
58146,5.0
58145,5.0
58144,0.5
58143,4.0
58141,3.0
58140,5.0
58139,4.0
58138,4.0
58137,5.0
58136,5.0
58135,3.0
58134,5.0
58133,3.0
58132,3.0
58131,5.0
58129,4.0
58127,4.5
58126,4.0
58125,4.0
58124,5.0
58123,3.0
58122,4.5
58121,1.0
58120,4.0
58118,4.0
58117,5.0
58115,4.0
58114,5.0
58113,4.0
58112,0.5
58111,4.0
58110,4.0
58108,0.5
58107,3.0
58106,4.0
58103,4.0
58102,3.0
58101,2.0
58100,3.0
58099,2.5
58098,3.0
58097,3.5
58096,2.0
58094,3.0
58093,4.0
58092,3.5
58091,3.0
58090,2.0
58089,4.0
58088,3.0
58087,0.5
58086,4.0
58085,4.0
58084,1.5
58083,2.0
58082,3.5
58081,1.0
58080,4.0
58079,3.0
58078,5.0
58077,4.0
58076,3.5
58075,5.0
58074,5.0
58072,4.0
58071,4.0
58070,3.5
58069,4.0
58067,4.5
58066,4.5
58065,3.0
58064,3.5
58063,4.0
58061,4.0
58059,4.0
58058,4.0
58057,3.0
58056,2.5
58055,3.5
58054,3.0
58053,4.0
58051,5.0
58050,3.5
58047,3.0
58046,4.5
58045,2.0
58044,4.0
58043,5.0
58042,5.0
58041,3.0
58040,3.5
58039,3.5
58038,3.0
58037,2.5
58036,5.0
58035,4.0
58034,4.5
58033,2.5
58032,4.5
58031,1.5
58030,4.5
58029,5.0
58028,2.0
58027,3.0
58026,3.0
58025,3.5
58024,4.0
58023,3.0
58021,1.0
58019,3.0
58018,5.0
58017,4.5
58016,3.0
58015,1.0
58014,2.0
58013,4.5
58012,4.0
58011,3.0
58010,4.0
58009,5.0
58008,4.0
58007,5.0
58005,3.5
58004,4.0
58003,4.0
58002,3.0
58001,3.5
58000,3.0
57998,5.0
57997,1.5
57996,3.0
57994,3.0
57993,4.0
57992,2.0
57990,4.0
57989,2.5
57987,3.5
57986,2.5
57985,3.0
57984,4.5
57983,4.5
57982,5.0
57981,3.0
57979,5.0
57978,3.0
57977,4.0
57976,2.0
57975,3.0
57974,5.0
57973,3.0
57972,4.0
57970,1.5
57969,5.0
57967,5.0
57965,4.0
57964,5.0
57963,4.0
57962,2.0
57961,2.0
57960,4.0
57959,5.0
57958,3.5
57957,2.0
57956,3.5
57954,4.5
57953,5.0
57952,3.0
57951,4.0
57950,4.0
57948,4.5
57947,4.0
57946,4.0
57945,3.0
57944,4.0
57943,4.0
57942,5.0
57941,4.0
57936,3.0
57934,1.0
57933,1.0
57932,4.5
57931,4.0
57930,2.0
57929,2.5
57928,3.0
57927,5.0
57925,4.0
57924,2.0
57923,3.5
57922,4.0
57920,3.5
57919,4.0
57917,2.0
57916,4.0
57914,3.0
57913,3.0
57912,3.0
57911,5.0
57908,3.0
57907,4.0
57906,3.0
57905,5.0
57904,4.0
57903,3.5
57902,4.0
57901,3.5
57900,5.0
57898,2.0
57897,4.0
57896,5.0
57894,5.0
57893,3.0
57892,3.0
57889,4.0
57888,3.5
57886,5.0
57885,5.0
57884,3.0
57883,3.0
57882,4.0
57881,4.0
57880,5.0
57879,2.0
57875,1.5
57873,4.0
57872,5.0
57870,3.0
57869,3.5
57868,4.0
57865,4.0
57863,3.5
57862,3.5
57861,2.5
57860,4.0
57858,4.5
57857,5.0
57856,3.0
57854,2.0
57853,4.5
57850,3.5
57849,3.0
57847,3.0
57846,4.5
57845,1.5
57844,5.0
57842,5.0
57841,4.0
57840,1.0
57838,4.5
57837,3.0
57836,4.5
57835,4.5
57834,4.0
57833,3.0
57832,4.5
57831,4.0
57830,1.5
57829,1.5
57828,2.5
57827,2.5
57826,1.0
57825,3.5
57824,3.0
57822,3.0
57821,4.0
57820,0.5
57819,4.5
57816,5.0
57815,4.5
57814,4.0
57813,3.0
57812,3.0
57811,4.0
57809,4.0
57808,3.5
57807,1.5
57806,5.0
57805,4.5
57804,4.0
57803,4.0
57802,4.0
57801,5.0
57800,1.5
57799,5.0
57798,1.5
57797,3.0
57796,1.0
57795,4.0
57794,5.0
57793,3.0
57792,4.0
57791,4.0
57789,4.5
57787,4.0
57784,4.0
57783,5.0
57782,3.0
57781,3.5
57780,5.0
57779,3.5
57778,5.0
57777,3.0
57776,4.0
57775,3.0
57774,4.0
57773,4.0
57772,3.0
57771,3.0
57770,3.0
57769,4.0
57768,4.0
57764,3.5
57763,4.0
57762,4.0
57761,3.0
57760,4.0
57759,4.5
57758,1.0
57757,4.0
57756,3.0
57755,3.5
57754,1.0
57753,3.0
57751,4.0
57750,2.5
57749,5.0
57748,3.5
57747,4.0
57746,3.5
57745,1.0
57744,3.0
57742,3.0
57741,3.0
57740,4.0
57739,4.0
57738,4.0
57737,4.0
57736,4.5
57735,4.0
57734,5.0
57733,3.0
57731,3.0
57727,4.0
57725,1.0
57724,2.5
57723,4.0
57722,4.0
57721,3.5
57720,4.0
57718,4.5
57717,5.0
57716,4.5
57714,4.0
57713,2.0
57712,3.5
57710,2.0
57709,3.0
57708,3.5
57707,4.0
57706,4.0
57704,4.5
57702,5.0
57700,4.0
57699,3.0
57698,5.0
57697,3.0
57696,5.0
57693,4.0
57692,4.0
57691,4.0
57690,2.0
57689,5.0
57688,4.0
57686,5.0
57683,4.0
57682,2.0
57681,5.0
57680,3.5
57679,3.0
57678,4.0
57677,4.0
57676,5.0
57675,1.5
57674,3.5
57673,3.5
57672,4.0
57671,4.0
57670,3.5
57668,3.0
57666,2.0
57663,5.0
57662,4.0
57660,4.0
57658,4.0
57657,3.0
57656,1.0
57655,3.5
57654,5.0
57653,2.5
57652,3.0
57651,5.0
57650,2.0
57649,4.0
57648,2.0
57647,3.0
57646,5.0
57645,2.0
57644,4.0
57643,4.0
57641,4.0
57640,3.5
57639,3.5
57638,4.0
57637,3.0
57636,4.0
57635,1.0
57634,4.0
57633,3.0
57632,2.5
57631,2.5
57630,4.0
57629,4.5
57625,0.5
57624,5.0
57623,3.0
57622,3.0
57621,5.0
57619,5.0
57618,3.0
57617,4.0
57616,5.0
57615,4.0
57614,2.5
57613,5.0
57612,3.0
57610,3.0
57609,5.0
57608,3.0
57607,5.0
57606,5.0
57605,5.0
57604,3.0
57603,2.0
57602,3.5
57601,4.5
57600,2.5
57599,3.0
57598,4.0
57597,1.5
57596,4.0
57595,2.0
57594,1.0
57593,4.0
57592,3.0
57591,5.0
57590,3.0
57588,4.0
57587,4.0
57586,5.0
57585,4.0
57584,5.0
57583,3.5
57582,5.0
57580,5.0
57579,3.0
57578,3.0
57577,3.0
57576,1.0
57575,2.5
57574,4.5
57573,2.0
57572,3.0
57570,5.0
57569,4.0
57568,3.0
57567,2.0
57566,2.5
57565,4.5
57563,2.0
57562,5.0
57561,2.5
57560,3.0
57559,4.0
57558,3.0
57557,3.5
57556,2.0
57555,2.5
57554,2.0
57553,4.0
57552,4.0
57551,3.5
57549,3.0
57548,3.0
57547,4.0
57546,1.5
57545,3.5
57544,3.5
57541,4.0
