user1 user2 ts
101 190 1082802914
193 190 1082802940
109 124 1082803230
103 109 1082803230
103 109 1082803503
103 109 1082803592
194 149 1082805529
176 149 1082807780
176 120 1082807785
176 132 1082807790
176 86 1082807799
176 97 1082807823
176 58 1082807851
176 8 1082807856
176 196 1082808059
176 197 1082808067
176 198 1082808071
176 199 1082808080
176 200 1082808084
176 192 1082808093
176 188 1082808101
176 202 1082808108
176 203 1082808118
176 180 1082808131
176 181 1082808140
176 177 1082808145
176 175 1082808160
176 166 1082808912
204 205 1082813713
204 104 1082813753
204 184 1082814036
189 144 1082814588
3 32 1082833362
199 58 1082833487
63 185 1082833784
63 199 1082833945
63 184 1082833992
199 101 1082834275
194 199 1082835672
194 206 1082835766
194 207 1082835825
204 123 1082836027
121 191 1082836177
175 191 1082836204
204 129 1082836225
63 199 1082836274
101 184 1082836277
101 208 1082836380
63 46 1082836457
63 199 1082837518
101 88 1082838056
191 121 1082838759
191 175 1082838772
103 177 1082838861
199 20 1082838963
184 101 1082839022
199 209 1082839321
101 184 1082839444
184 101 1082840457
209 199 1082840582
199 209 1082840800
199 210 1082840963
101 184 1082841297
184 101 1082842693
176 101 1082844137
68 101 1082844540
32 198 1082845340
211 101 1082846758
212 209 1082846766
211 213 1082847002
211 85 1082847072
214 215 1082848269
103 109 1082848309
103 215 1082848352
44 214 1082848393
103 215 1082848569
63 199 1082848571
63 199 1082848608
103 215 1082848718
103 215 1082848743
214 109 1082848843
215 67 1082848903
103 215 1082848932
214 215 1082848939
41 215 1082848944
103 127 1082849042
215 62 1082849207
214 109 1082849305
176 217 1082849417
176 216 1082849439
176 218 1082849598
103 109 1082849766
219 124 1082850049
19 109 1082850176
63 127 1082850584
88 101 1082850713
63 127 1082851193
214 56 1082851233
214 56 1082851282
63 127 1082851434
19 175 1082851882
19 109 1082851910
44 214 1082851949
44 214 1082852211
19 215 1082852340
19 215 1082852382
103 175 1082852800
44 214 1082852820
19 215 1082853180
103 175 1082853216
214 175 1082853229
19 215 1082853352
214 215 1082853407
19 215 1082853560
96 32 1082853843
19 215 1082853844
96 164 1082853870
103 215 1082853897
103 215 1082854064
19 215 1082854150
220 214 1082854426
19 215 1082854539
144 32 1082854637
103 175 1082854853
103 175 1082854944
175 214 1082854961
103 175 1082855027
103 175 1082855142
103 175 1082855336
176 221 1082855702
103 98 1082856217
3 32 1082856808
222 120 1082856866
41 222 1082856892
41 222 1082857416
41 223 1082857909
214 175 1082858085
41 134 1082858396
36 222 1082858527
36 221 1082858589
212 66 1082858779
96 224 1082859059
175 214 1082859471
214 175 1082859521
225 223 1082859852
36 221 1082859885
36 214 1082859925
176 223 1082859948
36 221 1082859994
44 226 1082860239
36 221 1082860500
56 214 1082860934
36 221 1082861880
36 214 1082861948
204 221 1082862650
227 26 1082862781
211 228 1082863494
214 101 1082864167
229 230 1082864976
220 214 1082865111
96 231 1082865360
96 232 1082865421
103 221 1082865495
103 20 1082865816
103 86 1082865878
220 214 1082866000
220 214 1082866248
103 66 1082866401
212 66 1082866818
124 109 1082866991
212 6 1082867532
103 8 1082867874
63 202 1082867948
63 185 1082867986
103 93 1082868321
63 185 1082868333
9 233 1082870312
103 233 1082870381
9 97 1082870627
9 190 1082870736
166 234 1082872216
69 34 1082872324
69 34 1082872358
235 191 1082872392
69 185 1082872623
41 166 1082873861
41 32 1082873924
3 32 1082874683
3 132 1082874803
1 30 1082875165
41 32 1082875654
63 127 1082877117
63 199 1082877436
63 92 1082878073
97 228 1082878605
97 228 1082878605
103 58 1082880535
191 136 1082881208
32 58 1082881660
131 30 1082882503
191 236 1082882528
97 191 1082882893
48 81 1082882962
48 81 1082882967
175 214 1082883270
176 233 1082883506
9 101 1082883520
48 52 1082883809
48 52 1082883813
52 48 1082883884
48 52 1082883971
9 177 1082884190
97 191 1082884232
9 175 1082884244
52 48 1082884244
96 48 1082884479
41 32 1082884511
9 175 1082884570
9 175 1082884947
12 175 1082885499
48 52 1082885579
12 175 1082885665
12 168 1082885702
12 175 1082885727
52 48 1082885760
48 52 1082885813
12 81 1082885824
12 175 1082885851
12 175 1082886030
12 175 1082886054
52 48 1082886083
48 52 1082886157
12 175 1082886172
52 48 1082886253
12 175 1082886316
48 52 1082886336
12 175 1082886351
12 175 1082886421
52 48 1082886469
12 175 1082886544
12 175 1082886587
12 175 1082886610
220 214 1082886643
12 175 1082886675
88 220 1082886688
48 52 1082886758
12 175 1082886835
52 48 1082886858
9 175 1082886907
12 175 1082886971
12 175 1082887049
12 175 1082887127
9 175 1082887137
12 175 1082887212
48 52 1082887232
9 175 1082887269
12 175 1082887319
103 66 1082887443
12 175 1082887549
103 66 1082887567
52 48 1082887603
103 66 1082887671
12 175 1082887678
12 175 1082887699
48 52 1082887827
9 175 1082888043
9 175 1082888339
220 48 1082888339
220 48 1082888536
144 222 1082888725
220 48 1082888735
220 48 1082888751
220 48 1082888917
220 48 1082888953
220 48 1082889113
144 195 1082889149
191 237 1082889202
220 48 1082889235
220 48 1082889416
220 95 1082889542
220 48 1082889610
176 198 1082889621
220 95 1082889643
191 175 1082889644
220 95 1082889677
175 191 1082889784
191 175 1082889800
175 191 1082889856
191 175 1082889893
144 88 1082889910
175 191 1082889911
220 48 1082889912
191 175 1082889944
175 191 1082890000
191 175 1082890042
175 191 1082890098
220 95 1082890105
239 175 1082890119
144 240 1082890169
239 175 1082890229
239 236 1082890272
220 95 1082890344
220 48 1082890453
220 95 1082890494
220 95 1082890705
144 23 1082890722
220 95 1082890779
3 132 1082890791
220 95 1082891353
220 95 1082891427
220 95 1082891687
144 32 1082891807
220 48 1082891832
144 48 1082891974
36 222 1082892015
220 95 1082892045
88 144 1082892059
220 95 1082892126
220 95 1082892318
220 95 1082892518
144 48 1082892909
220 48 1082893190
144 48 1082893197
220 95 1082893204
220 95 1082893221
220 48 1082893246
9 144 1082893416
103 144 1082894822
194 199 1082898283
194 209 1082898359
32 144 1082916711
204 241 1082920909
63 127 1082921464
227 144 1082922014
194 209 1082924527
63 127 1082925927
44 214 1082926341
41 32 1082928441
245 191 1082929848
228 97 1082930135
211 228 1082932458
211 246 1082932673
233 88 1082933693
127 63 1082935467
143 95 1082935814
9 177 1082936128
63 127 1082936805
211 233 1082937060
176 248 1082938175
176 248 1082938396
211 232 1082939235
176 248 1082939913
176 63 1082939964
249 63 1082940059
41 251 1082940883
44 88 1082942825
103 177 1082943527
103 86 1082943650
12 168 1082944411
176 63 1082944983
249 63 1082945257
212 34 1082945287
176 63 1082945312
176 63 1082945596
212 34 1082945648
249 63 1082945798
212 34 1082946058
103 63 1082946164
144 247 1082946205
204 51 1082946226
103 63 1082946267
101 208 1082946301
212 34 1082946540
53 253 1082948735
9 251 1082948778
164 8 1082950430
8 164 1082950522
212 34 1082950910
44 88 1082951104
44 48 1082951267
44 88 1082951300
44 48 1082951438
44 88 1082951704
1 255 1082953823
103 256 1082955438
204 257 1082956140
52 48 1082956481
258 76 1082956655
259 260 1082957380
261 256 1082957450
204 81 1082957673
259 256 1082957765
51 260 1082957918
260 51 1082958043
204 262 1082958047
103 260 1082958123
263 254 1082958138
263 254 1082958311
204 51 1082958356
260 51 1082958564
204 51 1082958693
204 51 1082958867
204 51 1082958883
36 254 1082958907
204 51 1082958919
36 222 1082958944
204 51 1082959027
204 51 1082959053
204 51 1082959263
204 51 1082959303
62 215 1082959336
204 51 1082959459
264 158 1082959529
6 122 1082959563
204 51 1082959897
36 254 1082959982
41 265 1082960053
204 51 1082960057
204 51 1082960298
36 254 1082960649
260 51 1082960659
204 51 1082960672
36 222 1082960750
96 6 1082960820
204 51 1082960837
96 6 1082960895
256 259 1082960931
204 48 1082960943
36 254 1082960952
204 51 1082960973
96 6 1082960993
96 6 1082961084
204 51 1082961176
204 51 1082961242
96 6 1082961242
36 254 1082961339
36 254 1082961365
204 48 1082961392
96 6 1082961537
204 51 1082961727
267 256 1082961772
260 51 1082961860
12 260 1082961879
263 191 1082961929
12 101 1082962022
204 48 1082962113
204 51 1082962153
12 175 1082962234
204 48 1082962262
204 51 1082962447
51 267 1082962531
260 51 1082962543
204 48 1082962575
260 51 1082962615
268 149 1082962676
267 51 1082962686
63 127 1082963055
51 267 1082963180
204 48 1082963303
204 221 1082963419
127 63 1082963512
204 48 1082963526
212 6 1082963598
204 48 1082963698
204 48 1082963741
267 51 1082963914
12 175 1082963984
103 267 1082963990
204 48 1082963999
69 254 1082964096
212 34 1082964277
103 267 1082964745
176 269 1082964847
204 48 1082964990
19 265 1082965192
212 254 1082965685
176 270 1082966014
176 267 1082966042
272 273 1082966813
48 256 1082966852
274 48 1082967168
274 48 1082967462
144 260 1082967605
103 265 1082967629
263 222 1082967817
198 256 1082967828
103 270 1082967931
176 256 1082968126
263 239 1082968223
135 105 1082968737
263 239 1082968947
204 48 1082969190
275 20 1082969709
276 8 1082969738
20 275 1082969776
20 275 1082969785
263 277 1082969961
263 277 1082970044
9 135 1082970407
9 135 1082970857
127 260 1082971101
9 135 1082971150
101 68 1082971275
260 127 1082971353
260 127 1082971984
63 127 1082972379
41 280 1082972502
68 101 1082972625
176 101 1082972650
260 127 1082972760
41 280 1082973198
41 280 1082973247
277 68 1082973381
282 34 1082973381
176 283 1082973436
176 283 1082973442
41 280 1082973474
176 283 1082973512
176 283 1082973527
41 280 1082973742
176 248 1082973961
176 284 1082974060
176 166 1082974144
220 271 1082974197
41 270 1082974249
12 101 1082974280
220 67 1082974303
9 135 1082974309
12 101 1082974386
67 256 1082974526
12 101 1082974579
36 285 1082974655
12 101 1082974853
220 67 1082974962
286 221 1082974992
36 285 1082975725
36 285 1082975764
101 32 1082976041
189 132 1082977240
220 221 1082977423
220 221 1082977768
221 3 1082979630
181 180 1082979777
181 260 1082980205
236 239 1082984436
260 181 1082990408
51 288 1082997707
1 255 1083002608
79 256 1083002837
204 68 1083003469
289 135 1083003485
204 79 1083003512
204 276 1083003577
204 221 1083003589
204 271 1083003597
3 221 1083003722
58 199 1083003991
44 290 1083004997
27 221 1083006622
291 292 1083007282
69 293 1083007302
69 104 1083007346
9 260 1083008168
114 124 1083008385
199 58 1083009684
32 291 1083010857
36 291 1083011135
51 294 1083011411
105 135 1083014060
211 228 1083015753
291 32 1083016090
211 260 1083016196
204 68 1083016582
204 276 1083016687
204 79 1083016708
204 48 1083017089
211 284 1083017242
204 288 1083017268
204 284 1083017396
294 51 1083017720
263 277 1083017863
6 221 1083017914
44 129 1083018602
297 191 1083018944
32 291 1083020491
51 294 1083021617
294 51 1083022276
9 32 1083023022
9 177 1083023075
220 221 1083023508
221 3 1083025217
221 6 1083025404
221 211 1083025931
27 221 1083026148
263 277 1083026576
277 299 1083026942
277 299 1083027037
300 52 1083027132
212 67 1083028007
277 50 1083028488
204 221 1083029301
204 181 1083029386
211 221 1083029651
140 124 1083029836
6 221 1083029893
184 32 1083030012
193 233 1083030013
32 184 1083030041
32 184 1083030163
32 184 1083030264
301 63 1083030317
32 184 1083030405
193 149 1083030532
289 8 1083030664
9 299 1083030944
140 124 1083030975
6 88 1083031058
302 138 1083031145
204 68 1083031256
288 51 1083032211
228 211 1083032504
260 51 1083032516
260 211 1083032603
260 181 1083032703
63 301 1083032793
303 294 1083033278
204 68 1083033436
155 3 1083034076
155 8 1083034587
277 252 1083035131
204 68 1083035176
212 211 1083035238
204 68 1083035536
204 68 1083035816
204 68 1083035963
288 50 1083036046
204 68 1083036102
101 32 1083036179
204 68 1083036461
143 67 1083036825
212 228 1083037271
212 228 1083037427
67 164 1083037958
67 132 1083038046
228 61 1083038176
305 306 1083038413
239 236 1083038532
114 124 1083038647
51 294 1083038988
67 172 1083039126
51 288 1083039195
277 172 1083039328
288 51 1083039395
209 299 1083039452
67 175 1083039858
3 221 1083040089
3 155 1083040542
307 51 1083040803
281 308 1083041513
193 302 1083041702
302 193 1083041845
307 67 1083042068
281 302 1083042070
193 302 1083042184
60 308 1083042284
60 308 1083042290
60 308 1083042293
60 308 1083042296
60 308 1083042299
309 175 1083042328
143 67 1083042564
308 60 1083042622
212 209 1083042629
302 193 1083042689
307 67 1083042792
189 302 1083042906
193 302 1083042930
212 34 1083043002
277 184 1083043025
281 302 1083043079
302 193 1083043118
189 302 1083043169
193 302 1083043278
212 34 1083043534
277 184 1083043697
277 184 1083043880
302 193 1083044032
277 184 1083044172
9 177 1083044324
277 184 1083044420
9 299 1083044490
277 184 1083044683
193 302 1083044947
308 60 1083045016
36 211 1083045130
302 193 1083045132
303 212 1083045343
36 155 1083045391
193 302 1083045403
193 311 1083045481
36 34 1083045621
194 296 1083045631
211 128 1083045796
36 211 1083045812
296 63 1083046108
302 193 1083046309
281 302 1083046424
193 302 1083046517
9 8 1083046581
128 51 1083046587
194 132 1083046681
294 51 1083046737
302 193 1083046747
128 51 1083046855
294 51 1083046856
299 209 1083046925
9 8 1083046954
248 283 1083046991
281 302 1083047192
9 299 1083047269
36 299 1083047287
19 302 1083047289
128 51 1083047351
9 8 1083047431
128 51 1083047473
294 51 1083047562
103 299 1083047721
36 299 1083047725
9 299 1083047774
313 228 1083047914
9 8 1083048049
277 191 1083048142
306 305 1083048275
9 299 1083048359
277 191 1083048364
9 8 1083048388
9 299 1083048537
103 299 1083048646
277 191 1083048714
103 299 1083048866
277 191 1083048886
9 299 1083048890
193 280 1083049022
314 254 1083049150
281 302 1083049258
303 212 1083049398
303 298 1083049431
260 51 1083049507
51 59 1083049532
103 299 1083049587
128 211 1083049589
314 51 1083049663
103 299 1083049757
286 221 1083049799
308 315 1083049856
9 316 1083049878
317 315 1083049918
63 296 1083050023
128 51 1083050040
9 316 1083050074
286 34 1083050138
9 299 1083050144
314 51 1083050197
317 315 1083050238
63 301 1083050270
260 51 1083050318
314 48 1083050322
9 316 1083050322
286 34 1083050435
294 51 1083050442
204 51 1083050451
140 124 1083050465
204 68 1083050540
314 48 1083050631
50 288 1083050734
286 34 1083051051
9 8 1083051161
176 306 1083051214
176 299 1083051243
176 319 1083051270
176 300 1083051310
144 193 1083051361
282 67 1083051363
176 315 1083051369
176 316 1083051374
9 8 1083051420
288 50 1083051546
282 34 1083051590
212 6 1083051630
289 212 1083051760
297 88 1083051797
140 124 1083051818
254 308 1083051851
9 8 1083051860
83 313 1083051910
103 318 1083051932
140 124 1083051980
9 8 1083052010
144 288 1083052138
212 6 1083052166
212 6 1083052351
36 299 1083052376
144 88 1083052479
308 254 1083052485
101 184 1083052500
9 8 1083052516
212 6 1083052524
254 308 1083052558
94 320 1083052599
211 260 1083052612
36 211 1083052634
212 211 1083052634
211 228 1083052696
212 211 1083052966
27 194 1083053076
212 34 1083053150
9 32 1083053191
9 8 1083053230
176 233 1083053234
176 32 1083053336
144 48 1083053372
144 51 1083053606
9 8 1083053715
176 32 1083053785
212 34 1083053810
228 315 1083053834
32 184 1083054004
9 316 1083054026
321 144 1083054061
144 99 1083054096
9 8 1083054350
184 101 1083054369
193 315 1083054480
144 193 1083054553
9 8 1083054583
9 299 1083054608
9 260 1083054617
144 99 1083054768
144 322 1083054880
144 193 1083055125
281 323 1083055126
99 144 1083055155
144 193 1083055198
144 99 1083055286
103 324 1083055543
103 324 1083055714
297 325 1083055773
297 325 1083055798
144 99 1083055804
44 299 1083055886
209 299 1083055918
297 325 1083055942
60 308 1083055973
103 324 1083055994
144 99 1083056032
297 325 1083056136
78 326 1083056161
297 325 1083056308
144 193 1083056373
67 63 1083056419
212 209 1083056471
144 99 1083056517
193 144 1083056526
297 325 1083056595
144 193 1083056623
34 324 1083056627
323 34 1083056649
144 99 1083056662
63 67 1083056718
144 193 1083056788
297 325 1083056790
307 325 1083056894
144 99 1083056900
297 325 1083056938
27 194 1083057044
297 325 1083057091
324 34 1083057097
144 48 1083057110
144 48 1083057129
34 324 1083057135
319 34 1083057168
48 144 1083057181
319 325 1083057193
34 88 1083057207
144 99 1083057286
297 325 1083057302
319 325 1083057341
144 48 1083057352
319 34 1083057379
297 325 1083057466
204 68 1083057538
204 51 1083057547
325 319 1083057607
297 325 1083057823
103 324 1083057920
324 329 1083057936
297 325 1083057954
329 324 1083057973
62 78 1083057988
297 325 1083058072
72 291 1083058126
324 329 1083058200
9 294 1083058318
329 324 1083058323
103 324 1083058351
9 97 1083058361
204 68 1083058366
9 318 1083058393
128 329 1083058456
9 78 1083058474
9 52 1083058560
308 60 1083058563
51 52 1083058686
51 331 1083058818
332 333 1083058843
324 329 1083058863
9 61 1083058911
12 168 1083059027
12 288 1083059364
62 260 1083059388
128 324 1083059426
12 288 1083059442
281 323 1083059456
281 323 1083059568
12 288 1083059595
9 316 1083059623
12 288 1083059733
9 316 1083059792
103 324 1083059814
12 288 1083059875
12 288 1083059955
334 128 1083059967
281 323 1083060043
335 34 1083060072
103 324 1083060073
9 316 1083060080
12 288 1083060124
323 281 1083060162
12 288 1083060164
12 288 1083060195
103 324 1083060197
323 281 1083060244
323 281 1083060271
12 288 1083060276
9 97 1083060292
323 281 1083060350
12 288 1083060378
12 288 1083060472
9 282 1083060512
12 288 1083060540
324 329 1083060576
281 323 1083060582
333 319 1083060587
323 281 1083060686
332 281 1083060704
9 316 1083060730
329 324 1083060744
323 281 1083060745
323 281 1083060791
332 281 1083060818
281 323 1083060921
336 315 1083060928
323 281 1083060986
323 281 1083061017
128 324 1083061026
332 281 1083061050
281 323 1083061126
335 34 1083061218
336 333 1083061234
335 34 1083061242
323 281 1083061252
128 324 1083061261
308 333 1083061262
332 281 1083061291
333 308 1083061296
332 281 1083061376
332 281 1083061394
332 281 1083061417
323 281 1083061491
335 34 1083061492
323 281 1083061531
281 323 1083061557
36 189 1083061558
333 329 1083061635
323 281 1083061687
323 281 1083061703
335 34 1083061813
36 75 1083061851
103 324 1083061862
329 333 1083061862
332 281 1083061881
128 221 1083061923
323 281 1083061927
36 211 1083061962
41 308 1083061972
260 211 1083061973
128 324 1083062033
335 34 1083062037
337 281 1083062166
103 324 1083062185
41 308 1083062198
337 260 1083062215
337 281 1083062238
337 281 1083062399
335 34 1083062404
41 308 1083062468
62 260 1083062612
335 34 1083062887
220 221 1083063012
308 311 1083063152
103 324 1083063250
335 34 1083063288
128 329 1083063334
41 308 1083063472
41 308 1083063499
41 308 1083063595
